doi;URL;Rep1;Rep2;Rep3;Rep4;Rep5;Rep6;Views1;Views2;Views3;Views4;Views5;Views6;reviewed;type
10.12688/f1000research.12398.1;https://f1000research.com/articles/6-1752/v1;A;A;;;;;4;1;;;;;TRUE;
10.12688/f1000research.13016.1;https://f1000research.com/articles/6-2012/v1;A;AR;;;;;38;18;;;;;TRUE;
10.12688/f1000research.12865.1;https://f1000research.com/articles/6-2164/v1;;;;;;;;;;;;;FALSE;
10.12688/f1000research.10082.1;https://f1000research.com/articles/5-2741/v1;;;;;;;;;;;;;FALSE;
10.12688/f1000research.11712.1;https://f1000research.com/articles/6-921/v1;A;A;;;;;13;9;;;;;TRUE;
10.12688/f1000research.10742.2;https://f1000research.com/articles/6-97/v2;;;;A;A;A;;;;10;6;8;TRUE;
10.12688/f1000research.11339.1;https://f1000research.com/articles/6-1015/v1;A;A;;;;;;;;;;;TRUE;REVIEW
10.12688/f1000research.9773.2;https://f1000research.com/articles/5-2573/v2;;;;;;;;;;;;;NA;
10.12688/f1000research.9932.1;https://f1000research.com/articles/5-2791/v1;AR;AR;AR;;;;7;3;3;;;;TRUE;
10.12688/f1000research.10025.1;https://f1000research.com/articles/5-2873/v1;AR;A;;;;;20;9;;;;;TRUE;
10.12688/f1000research.10509.1;https://f1000research.com/articles/5-2934/v1;A;A;A;;;;29;26;10;;;;TRUE;
10.12688/f1000research.10126.1;https://f1000research.com/articles/6-78/v1;A;A;;;;;;;;;;;TRUE;REVIEW
10.12688/f1000research.12332.1;https://f1000research.com/articles/6-1557/v1;A;A;;;;;16;14;;;;;TRUE;
10.12688/f1000research.6520.2;https://f1000research.com/articles/4-177/v2;;;;;;;;;;;;;NA;
10.12688/f1000research.10422.1;https://f1000research.com/articles/5-2897/v1;AR;AR;AR;;;;31;32;40;;;;TRUE;
10.12688/f1000research.10245.1;https://f1000research.com/articles/5-2891/v1;A;AR;;;;;6;11;;;;;TRUE;
10.12688/f1000research.11841.1;https://f1000research.com/articles/6-1234/v1;A;A;;;;;6;2;;;;;TRUE;
10.12688/f1000research.11796.1;https://f1000research.com/articles/6-1596/v1;A;A;;;;;;;;;;;TRUE;REVIEW
10.12688/f1000research.12278.1;https://f1000research.com/articles/6-1631/v1;A;A;A;;;;8;4;8;;;;TRUE;
10.12688/f1000research.10763.2;https://f1000research.com/articles/6-126/v2;;;AR;A;;;;;13;6;;;TRUE;
10.12688/f1000research.10937.2;https://f1000research.com/articles/6-243/v2;;;A;;;;;;2;;;;TRUE;
10.12688/f1000research.12169.1;https://f1000research.com/articles/6-2016/v1;A;A;;;;;;;;;;;TRUE;REVIEW
10.12688/f1000research.11110.1;https://f1000research.com/articles/6-859/v1;A;A;A;;;;;;;;;;TRUE;
10.12688/f1000research.12290.1;https://f1000research.com/articles/6-2032/v1;A;A;;;;;4;1;;;;;TRUE;REVIEW
10.12688/f1000research.12003.1;https://f1000research.com/articles/6-1415/v1;AR;AR;AR;;;;10;3;5;;;;TRUE;